Dataset,Model,Fold,Partition Mode,Dependent Label Count,Dependent Labels,Final Order,Final Order Strategy,Independent Label Count,Independent Labels,Probability Inference Seconds,Selection Seconds
emotions,GSI_MLC_PA_Logistic,1,learned,4,"[0, 1, 2, 4]","[3, 5, 2, 4, 0, 1]",correlation,2,"[3, 5]",0.0007450999992215657,0.03113850000045204
emotions,GSI_MLC_PA_Logistic,2,learned,3,"[0, 1, 4]","[2, 3, 5, 4, 0, 1]",correlation,3,"[2, 3, 5]",0.0006120999996710452,0.029595699999845237
emotions,GSI_MLC_PA_Logistic,3,learned,3,"[0, 1, 5]","[2, 3, 4, 5, 0, 1]",correlation,3,"[2, 3, 4]",0.0006437000001824345,0.029964700000164157
emotions,GSI_MLC_PA_Logistic,4,learned,3,"[0, 1, 3]","[2, 4, 5, 3, 0, 1]",correlation,3,"[2, 4, 5]",0.0006090999995649327,0.029414200000246638
emotions,GSI_MLC_PA_Logistic,5,learned,4,"[0, 1, 2, 3]","[4, 5, 2, 3, 0, 1]",correlation,2,"[4, 5]",0.0006831000000602216,0.02895780000017112
emotions,GSI_MLC_PA_MLP,1,learned,3,"[2, 3, 4]","[0, 1, 5, 2, 3, 4]",correlation,3,"[0, 1, 5]",0.0020524999999906868,0.31855300000006537
emotions,GSI_MLC_PA_MLP,2,learned,5,"[0, 1, 2, 3, 4]","[5, 2, 0, 3, 4, 1]",correlation,1,[5],0.0025633000004745554,0.2747809000002235
emotions,GSI_MLC_PA_MLP,3,learned,3,"[0, 1, 3]","[2, 4, 5, 3, 0, 1]",correlation,3,"[2, 4, 5]",0.0016393999994761543,0.298279999999977
emotions,GSI_MLC_PA_MLP,4,learned,1,[3],"[0, 1, 2, 4, 5, 3]",correlation,5,"[0, 1, 2, 4, 5]",0.0009410000002390007,0.3030979999994088
emotions,GSI_MLC_PA_MLP,5,learned,4,"[0, 1, 3, 4]","[2, 5, 0, 3, 4, 1]",correlation,2,"[2, 5]",0.002007100000810169,0.30597820000002685
emotions,GSI_MLC_PA_SVM,1,learned,5,"[0, 1, 2, 3, 5]","[4, 3, 5, 2, 0, 1]",correlation,1,[4],0.0032632000002195127,0.12382079999952111
emotions,GSI_MLC_PA_SVM,2,learned,4,"[0, 1, 2, 5]","[3, 4, 1, 5, 2, 0]",correlation,2,"[3, 4]",0.002762600000096427,0.12639260000014474
emotions,GSI_MLC_PA_SVM,3,learned,4,"[0, 1, 3, 5]","[2, 4, 5, 3, 0, 1]",correlation,2,"[2, 4]",0.00295780000033119,0.12100509999982023
emotions,GSI_MLC_PA_SVM,4,learned,1,[0],"[1, 2, 3, 4, 5, 0]",correlation,5,"[1, 2, 3, 4, 5]",0.002127200000359153,0.12248530000033497
emotions,GSI_MLC_PA_SVM,5,learned,5,"[0, 1, 2, 3, 5]","[4, 3, 1, 5, 2, 0]",correlation,1,[4],0.003253699999731907,0.12772510000013426
music,GSI_MLC_PA_Logistic,1,learned,6,"[0, 1, 2, 3, 4, 5]","[3, 4, 1, 5, 2, 0]",correlation,0,[],0.0008129999996526749,0.0306111999998393
